Obs,Date,SiteID,Aspect,Elevation,Species,PAR,Individual,BarcodeLeaf,BarcodeCutout,Notes,NoRamp,Bad
88,2023-12-14,4,E,2600,Senecio glaberrimus,600,1,GLQ6346,NA,Flow:250 ∆CO2: -6.5,,
89,2023-12-14,4,E,2600,Senecio glaberrimus,600,2,GLU0133,AAH1730,Flow:250 ∆CO2: -6.9,,
90,2023-12-14,4,E,2600,Senecio glaberrimus,600,3,GLY0602,NA,,,
91,2023-12-14,4,E,2600,Senecio glaberrimus,600,4,JCA0538,AAJ0773,,,
92,2023-12-14,4,E,2600,Senecio glaberrimus,600,5,JBP6752,AAK2991,,,
93,2023-12-14,4,E,2600,Senecio glaberrimus,600,6,JAQ9928,AAM1419,,,
94,2023-12-14,4,W,2600,Helichrysum pallidum,700,1,JBC5259,NA,,,
95,2023-12-14,4,W,2600,Helichrysum ecklonis,800,1,JBG5121,AAL3746,,,
96,2023-12-14,4,W,2600,Helichrysum pallidum,700,2,JCE1534,NA,,,
97,2023-12-14,4,W,2600,Helichrysum pallidum,700,3,JAU4660,NA,Flow:400 ∆CO2: -9,,
98,2023-12-14,4,W,2600,Helichrysum ecklonis,800,2,JAR8178,AAN6487,,,
99,2023-12-14,4,W,2600,Helichrysum pallidum,700,4,GLN8112,NA,,,
100,2023-12-14,4,W,2600,Helichrysum pallidum,700,5,GKZ1081,NA,,,
101,2023-12-14,4,W,2600,Helichrysum ecklonis,800,3,GKV7467,NA,Flow:500 ∆CO2: -9,,
102,2023-12-14,4,W,2600,Helichrysum ecklonis,800,4,GLJ2467,AAO9227,Flow:250 ∆CO2: -9.4,,
103,2023-12-14,4,W,2600,Helichrysum ecklonis,800,5,GLD0237,AAP5468,Flow:500 ∆CO2: -8.9,,
104,2023-12-14,2,E,2200,Helichrysum nudifolium,700,1,GLR6175,NA,,,
105,2023-12-14,2,E,2200,Helichrysum nudifolium,700,2,JBR3255,NA,,,
106,2023-12-14,2,E,2200,Helichrysum nudifolium,700,3,JBV2953,NA,,,
107,2023-12-14,2,E,2200,Helichrysum nudifolium,700,4,JBZ3278,AAT1531,,,
108,2023-12-15,2,E,2200,Helichrysum nudifolium,700,5,GKR7184,NA,,,
109,2023-12-15,2,E,2200,Helichrysum nudifolium,700,6,GLX8692,NA,,,
110,2023-12-15,2,E,2200,Helichrysum nudifolium,700,7,IYV6657,NA,,,
113,2023-12-15,2,W,2200,Senecio glaberrimus,600,1,IYW6008,NA,Flow:400,,
114,2023-12-15,2,W,2200,Senecio glaberrimus,600,2,IZX1538,IZX1538,,,
115,2023-12-15,2,W,2200,Senecio glaberrimus,600,3,IYZ3816,NA,,,
116,2023-12-15,2,W,2200,Senecio glaberrimus,600,4,IZZ6892,NA,Flow:300 ∆CO2: -7.5,,
117,2023-12-15,2,W,2200,Senecio glaberrimus,600,5,IZY6238,NA,,,
118,2023-12-15,2,W,2200,Helichrysum pallidum,700,1,JAB5229,NA,Filename 18 instead of 118,,
119,2023-12-15,2,W,2200,Helichrysum pallidum,700,2,JAA5210,NA,,,
120,2023-12-15,2,W,2200,Helichrysum pallidum,700,3,JAC2043,NA,,,
121,2023-12-15,2,W,2200,Helichrysum pallidum,700,4,JAE5272,ABV8245,Flow: 400,,
122,2023-12-15,2,W,2200,Helichrysum pallidum,700,5,JAD9615,NA,,,
123,2023-12-16,2,E,2200,Hypoxis costata,600,1,IZK4138,NA,Flow: 400,,
124,2023-12-16,2,E,2200,Hypoxis costata,600,2,IZJ0334,NA,Flow: 400,,
125,2023-12-16,2,E,2200,Hypoxis costata,600,3,IZF3457,NA,Flow: 400,,
126,2023-12-16,2,E,2200,Hypoxis costata,600,4,IZG1102,NA,,,
127,2023-12-16,2,E,2200,Hypoxis costata,600,5,IZL9468,NA,Flow: 400,,
